s.no.,army number,rank,name,age,remarks
1,12345,Sergeant,John Doe,28,
2,12346,Corporal,Jane Smith,29,
3,12347,Private,Emily Davis,29,
4,12348,Lieutenant,Michael Brown,30,
5,12349,Captain,Jessica Wilson,31,
6,12350,Major,David Lee,32,
7,12351,Colonel,Sarah Johnson,33,
8,12352,General,James Miller,34,
9,12353,Sergeant,Chris Anderson,35,
10,12354,Corporal,Amy Thomas,35,
11,12355,Private,Robert Taylor,36,
12,12356,Lieutenant,Linda Martinez,37,
13,12357,Captain,William Garcia,38,
14,12358,Major,Elizabeth Rodriguez,39,
15,12359,Colonel,Joseph Martinez,40,
16,12360,General,Mary Hernandez,41,
17,12361,Sergeant,Charles Wilson,42,
18,12362,Corporal,Patricia Moore,43,
19,12363,Private,Daniel Jackson,44,
20,12364,Lieutenant,Jennifer White,45,
